date,league,contracts_traded,notional_at_price_usd_est,max_notional_usd_est
2026-06-11,MLB,1,0.5,1.0
2026-06-12,MLB,0,0.0,0.0
2026-06-13,MLB,0,0.0,0.0
2026-06-14,MLB,0,0.0,0.0
2026-06-15,MLB,0,0.0,0.0
2026-06-16,MLB,0,0.0,0.0
2026-06-17,KBO,0,0.0,0.0
2026-06-17,MLB,0,0.0,0.0
2026-06-17,PGA,0,0.0,0.0
2026-06-18,KBO,0,0.0,0.0
2026-06-18,MLB,25,0.0,25.0
2026-06-18,NPB,0,0.0,0.0
2026-06-18,PGA,0,0.0,0.0
2026-06-19,KBO,0,0.0,0.0
2026-06-19,MLB,0,0.0,0.0
2026-06-19,NPB,0,0.0,0.0
2026-06-19,PGA,0,0.0,0.0
2026-06-20,KBO,0,0.0,0.0
2026-06-20,MLB,0,0.0,0.0
2026-06-20,NPB,0,0.0,0.0
2026-06-20,PGA,0,0.0,0.0
2026-06-21,KBO,0,0.0,0.0
2026-06-21,MLB,0,0.0,0.0
2026-06-21,NPB,0,0.0,0.0
2026-06-21,PGA,0,0.0,0.0
2026-06-22,KBO,0,0.0,0.0
2026-06-22,MLB,0,0.0,0.0
2026-06-22,NPB,0,0.0,0.0
2026-06-22,PGA,0,0.0,0.0
2026-06-23,KBO,0,0.0,0.0
2026-06-23,MLB,0,0.0,0.0
2026-06-23,NPB,0,0.0,0.0
2026-06-23,PGA,0,0.0,0.0
2026-06-24,KBO,0,0.0,0.0
2026-06-24,MLB,0,0.0,0.0
2026-06-24,NPB,0,0.0,0.0
2026-06-24,PGA,0,0.0,0.0
2026-06-25,KBO,0,0.0,0.0
2026-06-25,MLB,381,188.28,381.0
2026-06-25,NPB,0,0.0,0.0
2026-06-25,PGA,0,0.0,0.0
2026-06-26,KBO,0,0.0,0.0
2026-06-26,MLB,988,325.0,988.0
2026-06-26,NPB,0,0.0,0.0
2026-06-26,PGA,0,0.0,0.0
2026-06-27,KBO,0,0.0,0.0
2026-06-27,MLB,3583,1104.0,3583.0
2026-06-27,NPB,0,0.0,0.0
2026-06-27,PGA,0,0.0,0.0
2026-06-28,KBO,0,0.0,0.0
2026-06-28,MLB,0,0.0,0.0
2026-06-28,NPB,0,0.0,0.0
2026-06-28,PGA,0,0.0,0.0
2026-06-29,KBO,0,0.0,0.0
2026-06-29,MLB,3274,2326.0,3274.0
2026-06-29,NPB,0,0.0,0.0
2026-06-29,PGA,0,0.0,0.0
2026-06-30,KBO,38,20.17,38.0
2026-06-30,MLB,5666,1939.0,5666.0
2026-06-30,NPB,91,58.24,91.0
2026-06-30,PGA,0,0.0,0.0
2026-07-01,KBO,1421,364.87,1421.0
2026-07-01,MLB,44311,23535.0,44311.0
2026-07-01,NPB,306,72.54,306.0
2026-07-01,PGA,0,0.0,0.0
2026-07-02,KBO,7842,4950.46,7842.0
2026-07-02,MLB,95564,46763.81,95564.0
2026-07-02,NPB,3346,1646.17,3346.0
2026-07-02,PGA,0,0.0,0.0
2026-07-03,KBO,23967,14249.05,23967.0
2026-07-03,MLB,102556,47745.5,102556.0
2026-07-03,NPB,10308,4399.54,10308.0
2026-07-03,PGA,0,0.0,0.0
2026-07-04,KBO,21033,8675.31,21033.0
2026-07-04,MLB,130424,70252.0,130424.0
2026-07-04,NPB,91877,26797.09,91877.0
2026-07-04,PGA,0,0.0,0.0
2026-07-05,KBO,35629,17536.78,35629.0
2026-07-05,MLB,143556,72350.0,143556.0
2026-07-05,NPB,83941,29387.0,83941.0
2026-07-05,PGA,0,0.0,0.0
2026-07-06,KBO,440,219.88,440.0
2026-07-06,MLB,97740,63440.0,97740.0
2026-07-06,NPB,346,160.38,346.0
2026-07-06,PGA,0,0.0,0.0
2026-07-07,KBO,11102,6757.09,11102.0
2026-07-07,MLB,135216,80783.0,135216.0
2026-07-07,NPB,8578,5534.41,8578.0
2026-07-07,PGA,0,0.0,0.0
2026-07-08,KBO,27528,8201.52,27528.0
2026-07-08,MLB,187867,130640.5,187867.0
2026-07-08,NASCAR,0,0.0,0.0
2026-07-08,NPB,11340,3756.44,11340.0
2026-07-08,PGA,0,0.0,0.0
